Ranking,Name, ,Under Pressure Rating,% Break Points Converted,% Break Point Saved,% Tie Breaks Won,% Deciding Sets Won,Year
29,Stefan Edberg,,221.0,47.1%,63.8%,52.2%,57.9%,1994
30,Andre Agassi,,220.6,47.1%,65.6%,57.9%,50.0%,1994
31,Sergi Bruguera,,220.5,48.7%,62.5%,57.1%,52.2%,1994
32,Mark Woodforde,,218.6,36.1%,61.8%,42.9%,77.8%,1994
33,Thomas Enqvist,,217.4,42.5%,56.1%,47.4%,71.4%,1994
34,David Wheaton,,217.4,38.3%,65.5%,56.5%,57.1%,1994
35,Brad Gilbert,,215.6,44.9%,60.7%,50.0%,60.0%,1994
36,Jaime Yzaga,,214.4,44.2%,58.6%,63.6%,48.0%,1994
37,Alexander Volkov,,214.3,42.1%,60.1%,47.6%,64.5%,1994
38,Byron Black,,213.3,38.4%,58.2%,50.0%,66.7%,1994
39,Jason Stoltenberg,,213.2,41.4%,61.8%,60.0%,50.0%,1994
40,Petr Korda,,210.0,43.5%,63.4%,41.2%,61.9%,1994
41,Renzo Furlan,,210.0,45.0%,53.5%,55.0%,56.5%,1994
42,Chuck Adams,,209.8,39.0%,61.9%,47.4%,61.5%,1994
43,Francisco Clavet,,209.7,40.5%,58.3%,53.8%,57.1%,1994
44,Marcelo Filippini,,209.7,39.5%,64.6%,55.6%,50.0%,1994
45,MaliVai Washington,,209.4,44.3%,58.1%,44.0%,63.0%,1994
46,Gilbert Schaller,,208.1,43.4%,57.6%,53.8%,53.3%,1994
47,Carlos Costa,,206.8,44.0%,60.7%,57.7%,44.4%,1994
48,Guy Forget,,205.9,38.3%,61.7%,44.4%,61.5%,1994
49,Amos Mansdorf,,205.7,42.9%,58.3%,50.0%,54.5%,1994
50,Brett Steven,,204.6,38.8%,59.5%,50.0%,56.3%,1994
51,Kenneth Carlsen,,204.3,41.3%,65.0%,31.3%,66.7%,1994
52,Jonathan Stark,,203.8,35.0%,64.8%,64.0%,40.0%,1994
53,Cedric Pioline,,202.0,40.0%,59.7%,57.9%,44.4%,1994
54,Jan Apell,,202.0,40.7%,62.2%,52.9%,46.2%,1994
55,Magnus Larsson,,201.9,38.9%,65.9%,34.6%,62.5%,1994
56,Tomas Carbonell,,201.8,42.3%,56.2%,53.3%,50.0%,1994
57,Richard Fromberg,,201.1,38.6%,62.5%,50.0%,50.0%,1994
58,Jeremy Bates,,200.5,40.1%,60.4%,58.3%,41.7%,1994
59,Arnaud Boetsch,,200.3,41.9%,58.4%,45.5%,54.5%,1994
60,Jordi Burillo,,199.9,43.2%,56.7%,66.7%,33.3%,1994
61,Jared Palmer,,199.4,42.2%,63.9%,40.0%,53.3%,1994
62,Jim Courier,,198.3,44.3%,60.4%,47.4%,46.2%,1994
63,Daniel Vacek,,198.1,33.7%,60.9%,46.4%,57.1%,1994
64,Jordi Arrese,,195.6,44.5%,55.4%,35.7%,60.0%,1994
65,Karsten Braasch,,195.6,40.2%,62.2%,57.9%,35.3%,1994
66,Todd Woodbridge,,195.1,42.0%,58.7%,44.4%,50.0%,1994
67,Guillaume Raoux,,194.2,34.5%,59.7%,50.0%,50.0%,1994
68,Marcos Ondruska,,193.9,50.8%,55.6%,50.0%,37.5%,1994
69,Olivier Delaitre,,192.9,44.2%,60.2%,50.0%,38.5%,1994
70,Ivan Lendl,,192.3,39.2%,60.2%,42.9%,50.0%,1994
71,Richard Krajicek,,191.9,44.2%,72.7%,50.0%,25.0%,1994
72,Alex O'Brien,,191.6,35.4%,60.9%,66.7%,28.6%,1994
73,Franco Davin,,190.9,43.5%,56.1%,55.6%,35.7%,1994
74,Javier Sanchez,,190.6,40.1%,57.6%,42.9%,50.0%,1994
75,Karim Alami,,190.5,36.0%,59.7%,61.5%,33.3%,1994
76,Aaron Krickstein,,190.4,44.1%,56.1%,45.8%,44.4%,1994
77,Jeff Tarango,,190.2,42.0%,59.8%,45.5%,42.9%,1994
78,Stefano Pescosolido,,189.3,39.6%,56.8%,52.9%,40.0%,1994
79,Hendrik Dreekmann,,188.1,39.7%,57.1%,53.8%,37.5%,1994
80,Henrik Holm,,187.2,41.1%,54.5%,35.3%,56.3%,1994
81,Patrick McEnroe,,187.2,39.1%,58.1%,40.0%,50.0%,1994
82,Jamie Morgan,,186.4,33.5%,58.1%,33.3%,61.5%,1994
83,Jim Grabb,,185.8,39.4%,61.8%,41.7%,42.9%,1994
84,Ronald Agenor,,185.7,36.0%,59.7%,46.2%,43.8%,1994
85,Lars Jonsson,,185.3,42.9%,59.1%,50.0%,33.3%,1994
86,Mark Petchey,,185.0,39.6%,59.0%,55.6%,30.8%,1994
87,Marc-Kevin Goellner,,182.5,32.6%,66.2%,46.2%,37.5%,1994
88,Mats Wilander,,182.4,44.7%,56.3%,42.9%,38.5%,1994
89,Henri Leconte,,182.3,39.8%,57.8%,46.2%,38.5%,1994
90,Maurice Ruah,,181.4,32.5%,54.4%,54.5%,40.0%,1994
91,Jan Siemerink,,178.5,33.6%,64.9%,50.0%,30.0%,1994
92,Greg Rusedski,,178.3,31.6%,64.5%,44.1%,38.1%,1994
93,Andrei Olhovskiy,,177.4,38.6%,60.6%,30.4%,47.8%,1994
94,Nicklas Kulti,,175.6,38.5%,57.1%,46.7%,33.3%,1994
95,Albert Costa,,174.8,38.7%,55.8%,16.7%,63.6%,1994
96,Alex Antonitsch,,174.7,43.5%,60.0%,46.2%,25.0%,1994
97,Jean-Philippe Fleurian,,170.9,44.7%,64.5%,18.8%,42.9%,1994
98,Rodolphe Gilbert,,170.9,36.2%,55.2%,46.2%,33.3%,1994
99,Martin Damm,,166.2,38.7%,60.1%,47.4%,20.0%,1994
100,David Rikl,,166.2,39.2%,59.1%,29.4%,38.5%,1994
101,Younes El Aynaoui,,160.2,31.3%,60.1%,43.8%,25.0%,1994
102,Joern Renzenbrink,,160.0,39.3%,61.6%,50.0%,9.1%,1994
103,Andrei Cherkasov,,157.7,42.4%,47.4%,42.9%,25.0%,1994
104,Steve Bryan,,155.6,35.4%,56.3%,22.2%,41.7%,1994
105,Emilio Sanchez,,155.5,36.8%,53.9%,37.5%,27.3%,1994
106,Fernando Meligeni,,131.9,45.1%,53.5%,0.0%,33.3%,1994
1,Andre Agassi,,264.8,45.0%,67.1%,80.0%,72.7%,1995
2,Thomas Muster,,261.3,49.4%,61.1%,79.4%,71.4%,1995
3,Michael Chang,,242.6,43.4%,63.0%,60.0%,76.2%,1995
4,Magnus Larsson,,237.9,40.6%,65.8%,60.9%,70.6%,1995
5,Thomas Enqvist,,236.5,43.3%,61.2%,56.0%,76.0%,1995
6,Marcelo Rios,,236.4,41.7%,61.8%,68.2%,64.7%,1995
7,Todd Martin,,235.8,39.7%,64.3%,63.0%,68.8%,1995
8,Sjeng Schalken,,235.0,39.2%,59.9%,66.7%,69.2%,1995
9,Stefan Edberg,,230.6,43.3%,60.4%,61.9%,65.0%,1995
10,Jim Courier,,230.3,44.4%,65.3%,65.0%,55.6%,1995
11,Mark Philippoussis,,229.9,39.2%,70.4%,56.0%,64.3%,1995
12,Sergi Bruguera,,229.3,44.9%,62.0%,47.4%,75.0%,1995
13,Paul Haarhuis,,228.7,41.3%,60.4%,47.8%,79.2%,1995
14,Renzo Furlan,,226.1,41.8%,59.0%,42.9%,82.4%,1995
15,Jan Siemerink,,225.0,36.4%,64.3%,63.2%,61.1%,1995
16,Brett Steven,,224.0,43.4%,57.9%,72.7%,50.0%,1995
17,Arnaud Boetsch,,223.5,37.9%,60.8%,58.1%,66.7%,1995
18,Goran Ivanisevic,,223.4,43.0%,67.6%,58.6%,54.2%,1995
19,Boris Becker,,222.3,37.9%,66.8%,52.6%,65.0%,1995
20,Pete Sampras,,221.9,42.4%,70.8%,48.7%,60.0%,1995
21,Aaron Krickstein,,221.2,44.6%,59.5%,60.0%,57.1%,1995
22,Mats Wilander,,221.0,45.8%,56.4%,43.8%,75.0%,1995
23,Yevgeny Kafelnikov,,219.5,44.1%,62.5%,42.9%,70.0%,1995
24,Hernan Gumy,,219.1,42.4%,59.1%,64.3%,53.3%,1995
25,Todd Woodbridge,,218.9,38.6%,61.5%,65.0%,53.8%,1995
26,Patrick Rafter,,218.6,37.6%,58.3%,57.7%,65.0%,1995
27,Jan Apell,,218.6,43.3%,62.4%,42.9%,70.0%,1995
28,Michael Stich,,217.4,39.6%,65.3%,50.0%,62.5%,1995
29,Kenneth Carlsen,,217.2,42.9%,68.0%,50.0%,56.3%,1995
30,Wayne Ferreira,,216.8,41.9%,61.8%,44.1%,69.0%,1995
31,Marc Rosset,,215.2,38.8%,65.6%,48.3%,62.5%,1995
32,Carlos Costa,,214.6,41.6%,54.8%,57.1%,61.1%,1995
33,Jakob Hlasek,,214.1,41.1%,62.5%,58.1%,52.4%,1995
34,Alberto Berasategui,,213.9,44.4%,59.5%,50.0%,60.0%,1995
35,Michael Tebbutt,,212.6,32.5%,65.1%,46.2%,68.8%,1995
36,Albert Costa,,211.5,41.3%,61.5%,64.3%,44.4%,1995
37,Henrik Holm,,210.3,41.2%,65.7%,47.1%,56.3%,1995
38,Jeremy Bates,,210.0,36.5%,55.4%,46.7%,71.4%,1995
39,Byron Black,,209.8,41.0%,59.2%,66.7%,42.9%,1995
40,Guillaume Raoux,,209.5,38.6%,60.8%,56.3%,53.8%,1995
41,Jared Palmer,,209.0,39.5%,60.7%,55.0%,53.8%,1995
42,Christian Ruud,,208.3,42.4%,55.8%,54.5%,55.6%,1995
43,Richard Krajicek,,208.3,36.8%,68.0%,48.5%,55.0%,1995
44,Andrea Gaudenzi,,207.7,40.3%,58.5%,55.6%,53.3%,1995
45,Bohdan Ulihrach,,207.3,48.0%,59.3%,50.0%,50.0%,1995
46,Tomas Carbonell,,207.1,46.7%,54.7%,35.7%,70.0%,1995
47,Fernando Meligeni,,207.0,47.1%,56.6%,50.0%,53.3%,1995
48,Slava Dosedel,,206.9,43.9%,57.7%,61.5%,43.8%,1995
49,Jacco Eltingh,,206.1,39.4%,62.5%,54.2%,50.0%,1995
